Stamp|x1_max|x2_max|x3_max|Lower|Upper|Solver_Time|Solver_info|Method|Use_MinLFR
2020-03-14_15-23-01_i2194|1|90|3|0|Inf|2.297952|tvreal, lpvnorm|LFT/IQC|0
2020-03-14_15-23-01_i2194|0.1|8|1|0|0.0390297830633875|1.14836|tvreal, lpvnorm|LFT/IQC|0
2020-03-14_15-23-01_i2194|0.1|8|1|0|0.0390366911219741|7.879609|tvreal, lpvnorm|LFT/IQC|0
2020-03-14_15-23-01_i2194|0.1|8|1|0|0.0390297830633875|0.954423|tvreal, lpvnorm|LFT/IQC|0
2020-03-14_15-23-01_i2194|0.8|70|3|0|0.0879885538438124|1.375491|tvreal, lpvnorm|LFT/IQC|0
2020-03-14_15-23-01_i2194|0.8|70|3|0|0.0976269128545707|10.365183|tvreal, lpvnorm|LFT/IQC|0
2020-03-16_13-22-00_i2195|0.8|70|3|0|0.0879885538438124|1.85411|tvreal, lpvnorm|LFT/IQC|0
2020-03-16_13-22-00_i2195|0.8|70|3|0|0.0930624529524758|10.465305|tvreal, lpvnorm|LFT/IQC|0
2020-03-16_13-22-00_i2195|0.8|70|3|0|0.0968270188992909|10.260614|tvreal, lpvnorm|LFT/IQC|0
2020-03-16_13-22-00_i2195|0.8|70|3|0|Inf|5.742386|tvreal, lpvnorm|LFT/IQC|0
2020-03-16_13-22-00_i2195|0.8|70|3|0|0.0976269128545707|10.321589|tvreal, lpvnorm|LFT/IQC|0
2020-03-16_13-22-00_i2195|0.8|70|3|0|0.0879885538438124|1.421716|tvreal, lpvnorm|LFT/IQC|0
2020-03-16_13-22-00_i2195|0.1|8|1|0|0.0390304821564014|0.501596|tvreal, lpvnorm|LFT/IQC|0
2020-03-16_13-22-00_i2195|0.1|8|1|0|0.0390623677606086|2.342375|tvreal, lpvnorm|LFT/IQC|0
2020-03-16_13-22-00_i2195|0.1|8|1|0|0.0390338795496914|32.211034|tvreal, lpvnorm|LFT/IQC|0
2020-03-16_13-22-00_i2195|0.1|8|1|0|0.0390346176874159|51.299489|tvreal, lpvnorm|LFT/IQC|0
2020-03-16_13-22-00_i2195|0.1|8|1|0|0.0390346176874159|51.629611|tvreal, lpvnorm|LFT/IQC|0
2020-03-16_13-22-00_i2195|0.3|30|2|0|0.0411818763879571|47.876957|tvreal, lpvnorm|LFT/IQC|0
2020-03-16_13-22-00_i2195|0.3|30|2|0|0.0411046048028831|0.449017|tvreal, lpvnorm|LFT/IQC|0
2020-03-16_13-22-00_i2195|0.6|50|3|0|0.0532346560361914|0.442373|tvreal, lpvnorm|LFT/IQC|0
2020-03-16_13-22-00_i2195|0.6|50|3|0|0.0533299611003658|50.097286|tvreal, lpvnorm|LFT/IQC|0
2020-03-16_15-03-31_i2200|0.1|8|1|0|0.0390304821564014|0.430292|tvreal, lpvnorm|LFT/IQC|0
2020-03-16_15-03-33_i2201|0.2|12|1|0|0.0396340074681494|0.372652|tvreal, lpvnorm|LFT/IQC|0
2020-03-16_15-03-34_i2202|0.3|30|2|0|0.0411046048028831|0.424448|tvreal, lpvnorm|LFT/IQC|0
2020-03-16_15-03-36_i2203|0.4|30|3|0|0.0439152806053019|0.428281|tvreal, lpvnorm|LFT/IQC|0
2020-03-16_15-03-37_i2204|0.5|40|3|0|0.0474955095672555|0.423315|tvreal, lpvnorm|LFT/IQC|0
2020-03-16_15-03-38_i2205|0.6|50|3|0|0.0532346560361914|0.432165|tvreal, lpvnorm|LFT/IQC|0
2020-03-16_15-03-40_i2206|0.7|60|3|0|0.0636176168688742|0.464271|tvreal, lpvnorm|LFT/IQC|0
2020-03-16_15-03-41_i2207|0.8|70|3|0|0.0882886536451603|0.462306|tvreal, lpvnorm|LFT/IQC|0
2020-03-16_15-03-42_i2208|0.9|80|3|0|0.176646744790803|0.533791|tvreal, lpvnorm|LFT/IQC|0
2020-03-16_15-03-44_i2209|1|90|3|0|Inf|0.711265|tvreal, lpvnorm|LFT/IQC|0
2020-03-17_12-07-19_i0002|0.1|8|1|0|0.0390304821564014|0.820675|tvreal, lpvnorm|LFT/IQC|0
2020-03-17_12-07-24_i0003|0.2|12|1|0|0.0396340074681494|0.499098|tvreal, lpvnorm|LFT/IQC|0
2020-03-17_12-07-25_i0004|0.3|30|2|0|0.0411046048028831|0.4887|tvreal, lpvnorm|LFT/IQC|0
2020-03-17_12-07-27_i0005|0.4|30|3|0|0.0439152806053019|0.475986|tvreal, lpvnorm|LFT/IQC|0
2020-03-17_12-07-28_i0006|0.5|40|3|0|0.0474955095672555|0.522466|tvreal, lpvnorm|LFT/IQC|0
2020-03-17_12-07-30_i0007|0.6|50|3|0|0.0532346560361914|0.451393|tvreal, lpvnorm|LFT/IQC|0
2020-03-17_12-07-31_i0008|0.7|60|3|0|0.0636176168688742|0.456966|tvreal, lpvnorm|LFT/IQC|0
2020-03-17_12-07-33_i0009|0.8|70|3|0|0.0882886536451603|0.463254|tvreal, lpvnorm|LFT/IQC|0
2020-03-17_12-07-34_i0010|0.9|80|3|0|0.176646744790803|0.555472|tvreal, lpvnorm|LFT/IQC|0
2020-03-17_12-07-35_i0011|1|90|3|0|Inf|0.744883|tvreal, lpvnorm|LFT/IQC|0
2020.03.17. Tuesday, 13:33:36|0.1|8|1|0|0.0390304821564014|0.515764|tvreal, lpvnorm|LFT/IQC|0
2020.03.17. Tuesday, 13:34:29|0.1|8|1|0|0.0390304821564014|0.417534|tvreal, lpvnorm|LFT/IQC|0
2020.03.17. Tuesday, 13:36:03|0.1|8|1|0|0.0390304821564014|0.423768|tvreal, lpvnorm|LFT/IQC|0
2020.03.17. Tuesday, 13:37:13|0.1|8|1|0|0.0390304821564014|0.77705|tvreal, lpvnorm|LFT/IQC|0
2020.03.17. Tuesday, 13:37:46|0.1|8|1|0|0.0390304821564014|0.578436|tvreal, lpvnorm|LFT/IQC|0
2020.03.17. Tuesday, 13:41:43|0.1|8|1|0|0.0390304821564014|0.479295|tvreal, lpvnorm|LFT/IQC|0
2020.03.17. Tuesday, 13:42:08|0.1|8|1|0|0.0390304821564014|0.437824|tvreal, lpvnorm|LFT/IQC|0
2020.03.17. Tuesday, 13:47:33|0.1|8|1|0|0.0390304821564014|0.440707|tvreal, lpvnorm|LFT/IQC|0
