Model|Stamp|Lower|Upper|Solver_Time|Overall_Time|Solver_Info|Method
model1_LPV4D|2020.04.13. Monday 20:07:14 id:2350|0|2.82033877316899|0|38.988533|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D|2020.04.13. Monday 21:14:45 id:2351|0|2.82026959237618|0|39.904897|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D|2020.04.13. Monday 22:25:40 id:2352|0|2.81963134967875|0|47.737574|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D|2020.04.13. Monday 23:04:16 id:2353|0|2.82739191302986|0|53.059505|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D|2020.04.13. Monday 23:33:57 id:2354|0|2.87240145997068|0|59.922712|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x1.78|2020.04.14. Tuesday 00:18:43 id:2357|0|2.54833429486015|0|37.811201|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x3.16|2020.04.14. Tuesday 00:45:51 id:2357|0|2.82087126323161|0|37.250375|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x5.6|2020.04.14. Tuesday 01:11:28 id:2357|0|2.81794253677084|0|42.882109|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x17.8|2020.04.14. Tuesday 01:38:53 id:2357|0|2.820254204693|0|39.678529|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x31.6|2020.04.14. Tuesday 02:34:12 id:2359|0|2.81888218089099|0|41.913861|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x56.2|2020.04.14. Tuesday 03:01:39 id:2359|0|2.81994196725838|0|40.731293|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x177.8|2020.04.14. Tuesday 03:31:53 id:2359|0|2.82072910307767|0|43.393223|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x316.2|2020.04.14. Tuesday 03:57:13 id:2359|0|2.82318853468453|0|43.504951|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x562.3|2020.04.14. Tuesday 04:21:37 id:2359|0|2.82031935321688|0|42.432822|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x1|2020.04.14. Tuesday 11:22:27 id:2269|0|2.24860849805858|0|34.962818|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x1.25893|2020.04.14. Tuesday 11:26:14 id:2269|0|2.33489739789273|0|38.4313|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x1.58489|2020.04.14. Tuesday 11:29:03 id:2269|0|2.46624325313265|0|37.449214|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x1.99526|2020.04.14. Tuesday 11:31:59 id:2269|0|2.63818392553585|0|38.325577|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x2.51189|2020.04.14. Tuesday 11:34:57 id:2269|0|2.80114519282558|0|37.506561|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x3.16228|2020.04.14. Tuesday 11:37:36 id:2269|0|2.81918562097354|0|38.930464|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x3.98107|2020.04.14. Tuesday 11:40:10 id:2269|0|2.81977241055676|0|39.97775|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x5.01187|2020.04.14. Tuesday 11:42:48 id:2269|0|2.81860414924753|0|41.318616|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x6.30957|2020.04.14. Tuesday 11:45:28 id:2269|0|2.81764609080954|0|42.732284|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x7.94328|2020.04.14. Tuesday 11:47:42 id:2269|0|2.82018392520324|0|38.112254|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x10|2020.04.14. Tuesday 11:49:56 id:2269|0|2.82033877316899|0|39.359184|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
