Model|Stamp|Lower|Upper|Solver_Time|Overall_Time|Solver_Info|Method
model1_LPV4D|2020.04.13. Monday 20:08:30 id:2350|0|2.81884398630243|0|74.923081|tvreal, lpvnorm|LFT/IQC
model1_LPV4D|2020.04.13. Monday 20:10:03 id:2350|2.02851105805651|2.81884398630243|0|93.115172|tvreal, lpvwcgain|LFT/IQC
model1_LPV4D|2020.04.13. Monday 21:16:13 id:2351|0|2.81924566906359|0|87.337428|tvreal, lpvnorm|LFT/IQC
model1_LPV4D|2020.04.13. Monday 21:17:57 id:2351|2.02851105805651|2.81924566906359|0|104.070897|tvreal, lpvwcgain|LFT/IQC
model1_LPV4D|2020.04.13. Monday 22:27:16 id:2352|0|2.81813194525962|0|95.246734|tvreal, lpvnorm|LFT/IQC
model1_LPV4D|2020.04.13. Monday 22:29:10 id:2352|2.02851105805651|2.81813194525962|0|114.380577|tvreal, lpvwcgain|LFT/IQC
model1_LPV4D|2020.04.13. Monday 23:05:56 id:2353|0|2.81862859240125|0|99.803834|tvreal, lpvnorm|LFT/IQC
model1_LPV4D|2020.04.13. Monday 23:07:54 id:2353|2.02851105805651|2.81862859240125|0|117.988429|tvreal, lpvwcgain|LFT/IQC
model1_LPV4D|2020.04.13. Monday 23:35:49 id:2354|0|2.81851428506674|0|110.522326|tvreal, lpvnorm|LFT/IQC
model1_LPV4D|2020.04.13. Monday 23:37:58 id:2354|2.02851105805651|2.81851428506674|0|129.617165|tvreal, lpvwcgain|LFT/IQC
model1_LPV4D_x1.78|2020.04.14. Tuesday 00:21:07 id:2357|2.02851105805651|2.59231592853063|0|142.018482|tvreal, lpvwcgain|LFT/IQC
model1_LPV4D_x3.16|2020.04.14. Tuesday 00:47:45 id:2357|2.02851105805651|2.81855086686819|0|112.702329|tvreal, lpvwcgain|LFT/IQC
model1_LPV4D_x5.6|2020.04.14. Tuesday 01:13:01 id:2357|2.02851105805651|2.81812896808011|0|92.775212|tvreal, lpvwcgain|LFT/IQC
model1_LPV4D_x17.8|2020.04.14. Tuesday 01:40:31 id:2357|2.02851105805651|2.81819053246449|0|97.627313|tvreal, lpvwcgain|LFT/IQC
